Depth ice/snow [m],Age model [ka],δD [‰ SMOW],delta T [°C],Sample ID
2690.05,390.135,-428.3,-5.98,4892
2690.6,390.448,-424.7,-5.35,4893
2691.15,390.743,-420.8,-4.68,4894
2691.7,391.04,-421.3,-4.73,4895
2692.25,391.345,-422.9,-4.96,4896
2692.8,391.644,-421.5,-4.7,4897
2693.35,391.942,-421.4,-4.65,4898
2693.9,392.231,-419.3,-4.26,4899
2694.45,392.515,-418.1,-4.03,4900
2695,392.79,-416.1,-3.67,4901
2695.55,393.057,-414.2,-3.33,4902
2696.1,393.325,-414.3,-3.32,4903
2696.65,393.58,-411.2,-2.78,4904
2697.2,393.832,-410.3,-2.61,4905
2697.75,394.079,-409,-2.37,4906
2698.3,394.328,-409.5,-2.43,4907
2698.85,394.568,-407,-2,4908
2699.4,394.815,-409,-2.3,4909
2699.95,395.057,-407.9,-2.1,4910
2700.5,395.281,-402.1,-1.12,4911
2701.05,395.501,-401.3,-0.98,4912
2701.6,395.737,-405.9,-1.71,4913
2702.15,395.965,-403.6,-1.31,4914
2702.7,396.192,-403.2,-1.23,4915
2703.25,396.413,-401.6,-0.95,4916
2703.8,396.635,-401.6,-0.93,4917
2704.35,396.846,-398.5,-0.4,4918
2704.9,397.058,-398.9,-0.45,4919
2705.45,397.267,-397.8,-0.25,4920
2706,397.477,-398.1,-0.28,4921
2706.55,397.677,-394.7,0.29,4922
2707.1,397.885,-397.8,-0.2,4923
2707.65,398.095,-398,-0.22,4924
2708.2,398.319,-402.5,-0.94,4925
2708.75,398.537,-400.4,-0.57,4926
2709.3,398.735,-394.2,0.47,4927
2709.85,398.935,-395,0.36,4928
2710.4,399.131,-393.4,0.64,4929
2710.95,399.34,-397.8,-0.07,4930
2711.5,399.543,-395.6,0.31,4931
2712.05,399.746,-395.2,0.39,4932
2712.6,399.946,-394.6,0.51,4933
2713.15,400.143,-393.5,0.7,4934
2713.7,400.332,-390.8,1.16,4935
2714.25,400.514,-388.2,1.6,4936
2714.8,400.704,-391,1.15,4937
2715.35,400.901,-393,0.83,4938
2715.9,401.094,-392.2,0.98,4939
2716.45,401.276,-387.4,1.78,4940
2717,401.46,-388.4,1.62,4941
2717.55,401.644,-388.4,1.63,4942
2718.1,401.83,-388.8,1.57,4943
2718.65,402.015,-388.8,1.58,4944
2719.2,402.192,-385.2,2.18,4945
2719.75,402.38,-389.4,1.49,4946
2720.3,402.563,-387.6,1.79,4947
2720.85,402.741,-385.5,2.14,4948
2721.4,402.917,-385.1,2.2,4949
2721.95,403.088,-382.6,2.62,4950
2722.5,403.267,-385.6,2.12,4951
2723.05,403.444,-384.7,2.27,4952
2723.6,403.624,-386.3,2.01,4953
2724.15,403.803,-385.1,2.2,4954
2724.7,403.984,-386.9,1.9,4955
2725.25,404.171,-388.5,1.64,4956
2725.8,404.348,-383.8,2.41,4957
2726.35,404.529,-385.7,2.1,4958
2726.9,404.714,-387,1.88,4959
2727.45,404.9,-387.6,1.78,4960
2728,405.08,-384.9,2.22,4961
2728.55,405.264,-388.9,1.56,4962
2729.1,405.441,-383.7,2.41,4963
2729.65,405.617,-383.2,2.49,4964
2730.2,405.79,-382.2,2.65,4965
2730.75,405.962,-381.8,2.71,4966
2731.3,406.142,-384.7,2.22,4967
2731.85,406.33,-387.3,1.79,4968
2732.4,406.508,-383.3,2.44,4969
2732.95,406.69,-384.3,2.27,4970
2733.5,406.86,-378.9,3.15,4971
2734.05,407.031,-380.4,2.9,4972
2734.6,407.215,-384.6,2.19,4973
2735.15,407.384,-380.3,2.9,4974
2735.7,407.567,-385.3,2.06,4975
2736.25,407.746,-382.9,2.45,4976
2736.8,407.922,-381.5,2.67,4977
2737.35,408.105,-384.5,2.17,4978
